Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd,Voyage Origin Port,Leg Start Port/anch,In Transit Port Calls,MMSI,Imo,Voyage Origin Port Atd,Vessel Type - Generic,Capacity - Dwt,My Fleets,Flag
TB.WINSTON,ARRIVAL,Port,GRESIK,2021-12-09 03:30 UTC,SURABAYA,SURABAYA,In Transit,,,,Tug,,-,Indonesia
TB.UVM 88,DEPARTURE,Port,GRESIK,2021-12-09 03:53 UTC,-,-,Not in Transit,,,,Tug,,-,Indonesia
TB.WINSTON,DEPARTURE,Port,GRESIK,2021-12-09 04:19 UTC,-,-,In Transit,,,,Tug,,-,Indonesia
PUTRA PASIFIC 01,ARRIVAL,Port,GRESIK,2021-12-09 05:03 UTC,BANJARMASIN,BANJARMASIN,Not in Transit,,,,Tanker,,-,Indonesia
SERVEWELL VIRTUE,ARRIVAL,Port,GRESIK,2021-12-09 05:19 UTC,GRESIK,GRESIK,Not in Transit,,,,Crew Boat,,-,Indonesia
POLAIR3,ARRIVAL,Port,GRESIK,2021-12-09 05:24 UTC,GRESIK,GRESIK,Not in Transit,,,,Other,,-,Indonesia
TB.SAMUDRA SINDO 28,ARRIVAL,Port,GRESIK,2021-12-09 05:39 UTC,SURABAYA RIVER ANCH,SURABAYA RIVER ANCH,Not in Transit,,,,Tug,,-,Indonesia
POLAIR3,DEPARTURE,Port,GRESIK,2021-12-09 05:44 UTC,-,-,Not in Transit,,,,Other,,-,Indonesia
JAYANEGARA 203,DEPARTURE,Port,GRESIK,2021-12-09 06:38 UTC,-,-,Not in Transit,,,,Tug,,-,Indonesia
IMMANUEL WGSR 01,DEPARTURE,Port,GRESIK,2021-12-09 06:40 UTC,-,-,Not in Transit,,,,Tug,,-,Indonesia
POLAIR3,ARRIVAL,Port,GRESIK,2021-12-09 07:51 UTC,GRESIK,GRESIK,Not in Transit,,,,Other,,-,Indonesia
KTM 1002,ARRIVAL,Port,GRESIK,2021-12-09 08:01 UTC,BANJARMASIN,BANJARMASIN,Not in Transit,,,,Other,,-,Indonesia
TIRTA SAMUDRA XXXII,DEPARTURE,Port,GRESIK,2021-12-09 08:06 UTC,-,-,Not in Transit,,,,Cargo,,-,Indonesia
SEROJA III,DEPARTURE,Port,GRESIK,2021-12-09 08:16 UTC,-,-,Not in Transit,,,,Tanker,,-,Indonesia
JAYANEGARA 304,ARRIVAL,Port,GRESIK,2021-12-09 08:23 UTC,SURABAYA,SURABAYA,In Transit,,,,Tug,,-,Indonesia
JAYANEGARA 203,ARRIVAL,Port,GRESIK,2021-12-09 08:34 UTC,GRESIK,GRESIK,Not in Transit,,,,Tug,,-,Indonesia
INDO DHARMA 9,ARRIVAL,Port,GRESIK,2021-12-09 08:47 UTC,PONTIANAK,PONTIANAK,Not in Transit,,,,Cargo,,-,Indonesia
JAYANEGARA 304,DEPARTURE,Port,GRESIK,2021-12-09 09:01 UTC,-,-,In Transit,525200036,9791377,2021-12-09 06:04 UTC,Tug,-,-,Indonesia
KTM 1002,DEPARTURE,Port,GRESIK,2021-12-09 09:43 UTC,-,-,Not in Transit,525000000,0,2021-12-08 14:08 UTC,Other,-,-,Indonesia
TB.UVM 88,ARRIVAL,Port,GRESIK,2021-12-09 10:15 UTC,GRESIK,GRESIK,Not in Transit,525000000,0,2021-12-09 03:53 UTC,Tug,-,-,Indonesia
SEROJA III,ARRIVAL,Port,GRESIK,2021-12-09 10:29 UTC,GRESIK,GRESIK,Not in Transit,525020127,9662825,2021-12-09 08:16 UTC,Tanker,3500,-,Indonesia
SMS VINCENT,ARRIVAL,Port,GRESIK,2021-12-09 10:29 UTC,GRESIK,GRESIK,Not in Transit,525019391,9459228,2021-12-08 23:46 UTC,Special Craft,96,-,Indonesia
PETROKIMIA GRESIK,DEPARTURE,Port,GRESIK,2021-12-09 11:22 UTC,-,-,Not in Transit,525010255,0,-,High Speed Craft,-,-,Indonesia
TIRTA SAMUDRA XXVIII,ARRIVAL,Port,GRESIK,2021-12-09 11:34 UTC,KUMAI,KUMAI,Not in Transit,525020106,9664146,2021-12-06 23:16 UTC,Cargo,3400,-,Indonesia
TB.BUENA VELA II,ARRIVAL,Port,GRESIK,2021-12-09 12:35 UTC,SAMPIT,SURABAYA RIVER ANCH,Not in Transit,525021065,0,2021-11-13 09:31 UTC,Tug,-,-,Indonesia
PUTRA PASIFIC 01,DEPARTURE,Port,GRESIK,2021-12-09 12:45 UTC,-,-,Not in Transit,525000000,0,2021-12-09 04:54 UTC,Tanker,-,-,Indonesia
TB.JAZZY,DEPARTURE,Port,GRESIK,2021-12-09 13:08 UTC,-,-,Not in Transit,525016271,0,2021-11-23 00:30 UTC,Tug,-,-,Indonesia
TB.SAMUDRA SINDO II,ARRIVAL,Port,GRESIK,2021-12-09 13:09 UTC,SAMPIT,SURABAYA RIVER ANCH,Not in Transit,525020143,0,2021-11-19 20:42 UTC,Other,-,-,Indonesia
TB.YAMDENA02,DEPARTURE,Port,GRESIK,2021-12-09 13:49 UTC,-,-,Not in Transit,525300452,0,2021-11-17 21:52 UTC,Tug,-,-,Indonesia
IMMANUEL WGSR 01,ARRIVAL,Port,GRESIK,2021-12-09 14:22 UTC,GRESIK,GRESIK,Not in Transit,525301304,0,2021-12-09 06:40 UTC,Tug,-,-,Indonesia
KT.SUBALI.2,DEPARTURE,Port,GRESIK,2021-12-09 14:47 UTC,-,-,Not in Transit,525100619,8993746,2021-12-08 07:31 UTC,Tug,-,-,Indonesia
PKP JAYA,DEPARTURE,Port,GRESIK,2021-12-09 14:49 UTC,-,-,Not in Transit,525015847,0,2021-12-02 15:35 UTC,Other,-,-,Indonesia
PETROKIMIA GRESIK,ARRIVAL,Port,GRESIK,2021-12-09 15:09 UTC,GRESIK,GRESIK,Not in Transit,525010255,0,2021-12-09 11:22 UTC,High Speed Craft,-,-,Indonesia
SELARAS MAS,ARRIVAL,Port,GRESIK,2021-12-09 15:25 UTC,TOBELO,SURABAYA ANCH,In Transit,525015287,9488267,2021-12-02 11:08 UTC,Cargo,4201,-,Indonesia
KT.SUBALI.2,ARRIVAL,Port,GRESIK,2021-12-09 15:34 UTC,GRESIK,GRESIK,Not in Transit,525100619,8993746,2021-12-09 14:47 UTC,Tug,-,-,Indonesia
